Area,Year,Top10,Top5,Top1,Top0.5,Top0.1,Top0.01,Atkin05,Gini,RMeanDev,Theil,Small Businesses As % of Total Number of Businesses,Small Business Share of Employment,Total Firms Per Capita,HighSchool Grads As % of Total Population,College Grads As % of Total Population,Real GDP Per Capita,Real GDP Per Capita (% Change),Real GDP in Millions of 2009 US Dollars,Real GDP (% Change)," Agriculture, Forestry & Fishing (Millions of US Dollars) ", All Industry Total , Construction ," Finance, Insurance & Real Estate ", Government , Manufacturing , Mining , Retail Trade , Services ,Transportation and public utilities,Wholesale trade,Agshare,Constructionshare,FIREshare,Governmentshare,Manufacturingshare,Miningshare, RetailTradeshare , Serviceshare ,Transhare,Wholesaleshare,Numberofpoor,Povertyrate, % Union Members Total , % Union Coverage Total , % Union Members Private Construction , % Union Coverage Private Construction , % Union Members Private Manufacturing , % Union Coverage Private Manufacturing , % Union Members Private , % Union Coverage Private , % Union Members Public , % Union Coverage Public , Right to Work Dummy , Population , Land Area (Sq. Miles) , Density (People per Sq. Mile) , Ethnic Minorities as a Percentage of Total Pop ,Total Revenue,Total Taxes,Total Gen Sales Tax (T09),Total Select Sales Tax,Total Income Taxes,Individual Income Tax (T40),Corp Net Income Tax (T41),Total Expenditure,Public Welf-Total Exp,Construction,Manufacturing,Forestry & Fishing,Wholesale Trade,Retail Trade,"Finance, Insurance & Real Estate",Mining,Transportation and Utilities,Services,Government & Government Enterprises,Personal Income,Incorporated Self Employed,Un-incorporated Self Employed,Total Self Employed
Alabama,2005,44.46,33.56,18.48,14.75,8.79,3.90,0.28,0.63,0.83,0.77,94.95,0.354428657, 0.0175419 ,60.42%,13.45%,37568.5851,1.9,171681.1081,2.8," 2,728.00 "," 157,914.00 "," 8,033.00 "," 24,007.00 "," 25,235.00 "," 28,207.00 "," 2,754.00 ",12211,13172,8132,9059,0.017275226,0.050869461,0.152025786,0.159802171,0.178622541,0.017439872,0.077326899,0.08341249,0.051496384,0.057366668,650,14.3,10.2,11.7,7.6,9.0,12.1,13.5,6.0,6.8,30.9,35.8, 1 ,4569805," 52,420 ", 87.18 ,0.288931803,22296792,7774147,2033192,1929624,2933829,2536521,397308,20346322,4389131,6516868,15429250,464038,464038,7126314,4876010,676314,4491015,26844774,20003459,136187496,"56,805","121,198",178003
Alaska,2005,34.44,24.47,12.47,9.42,4.94,1.82,0.26,0.59,0.83,0.63,95.24,0.428261095, 0.0252149 ,62.20%,17.43%,65655.07714,1.3,43788.39108,2.5, 264.00 ," 40,277.00 "," 2,100.00 "," 4,422.00 "," 7,723.00 "," 1,313.00 "," 10,422.00 ",1831,2211,4012,898,0.006554609,0.052138938,0.109789706,0.191747151,0.03259925,0.2587581,0.045460188,0.054894853,0.099610199,0.022295603,58,8.9,22.8,24.1,30.0,30.7,7.7,7.7,13.1,13.5,48.5,52.1, -   ,666946," 665,384 ", 1.00 ,0.303990128,9185403,1858311,0,198797,588694,0,588694,8055865,1427178,1864546,659022,327332,327332,1477373,808841,1216801,1585949,5343924,6791640,25928163,"14,327","29,430",43757
Arizona,2005,50.51,38.81,22.66,18.31,11.23,5.18,0.31,0.59,0.84,0.94,94.92,0.334805213, 0.0181729 ,59.48%,17.97%,42274.00931,4.3,246841.1955,7.8," 2,022.00 "," 227,047.00 "," 18,630.00 "," 51,461.00 "," 29,160.00 "," 20,461.00 "," 3,137.00 ",18767,23450,10329,12626,0.008905645,0.082053496,0.226653512,0.128431558,0.090117905,0.013816523,0.082656895,0.10328258,0.045492783,0.055609631,902,14.4,6.1,7.7,3.0,3.4,3.4,3.9,3.9,4.8,18.1,23.3, 1 ,5839077," 113,990 ", 51.22 ,0.13384564,25452661,11008428,5208070,1490944,3550309,2848450,701859,24114417,6179132,13259572,12393493,377051,377051,11605324,12615741,652243,5384759,44358178,23302238,188531565,"122,954","176,430",299384
Arkansas,2005,42.68,32.18,16.68,13.09,7.51,3.15,0.26,0.64,0.80,0.67,95.08,0.352545252, 0.0192780 ,59.53%,11.89%,35226.40836,1.7,97968.05862,2.8," 2,889.00 "," 90,112.00 "," 4,271.00 "," 12,138.00 "," 11,751.00 "," 17,148.00 ", 757.00 ,6763,7334,6405,6282,0.032060103,0.047396573,0.134699041,0.130404386,0.19029652,0.008400657,0.075051048,0.081387607,0.071078214,0.069713246,487,17.7,4.8,6.0,0.8,0.8,8.9,9.9,3.1,3.7,12.9,17.6, 1 ,2781097," 53,179 ", 52.30 ,0.189707155,14917752,6538720,2573503,884384,2152376,1875065,277311,13077224,3172494,3440594,9077397,462388,462388,3753924,2672031,372694,3775688,13992527,9857028,77736622,"40,975","118,233",159208
California,2005,50.46,40.38,24.20,19.78,12.45,5.96,0.34,0.62,0.91,1.12,97.41,0.37004006, 0.0198920 ,58.85%,20.17%,53421.73657,3.2,1913990.933,4," 25,054.00 "," 1,760,508.00 "," 89,296.00 "," 388,850.00 "," 220,604.00 "," 208,157.00 "," 12,731.00 ",118370,205356,62164,94067,0.01423112,0.050721724,0.220873748,0.125307014,0.118236895,0.007231435,0.067236275,0.116645877,0.035310263,0.053431737,4427,12.2,16.5,17.8,16.3,17.2,8.4,9.0,9.7,10.6,53.8,57.5, -   ,35827943," 163,695 ", 218.87 ,0.239700253,250278075,98434685,29967136,7705991,51662072,42992007,8670065,210407134,52604366,82119500,116955013,5198747,5198747,79035516,101278690,3848051,36976278,344557404,188359681,1415940822,"572,888","1,651,117",2224005
Colorado,2005,43.97,34.05,19.56,15.65,9.38,4.19,0.31,0.58,0.85,0.95,95.95,0.387077382, 0.0275505 ,63.61%,23.10%,52204.49477,3.2,241805.3728,4.5," 2,130.00 "," 222,415.00 "," 13,255.00 "," 42,000.00 "," 29,008.00 "," 16,904.00 "," 9,584.00 ",13780,28243,8608,11734,0.009576692,0.059595801,0.188836185,0.130422858,0.076002068,0.043090619,0.061956253,0.126983342,0.038702426,0.052757233,466,9.7,8.3,9.4,6.3,7.1,8.7,9.4,5.3,5.9,23.8,27.6, -   ,4631888," 104,094 ", 44.50 ,0.103235009,22453274,7648456,2003066,1054386,4086570,3770736,315834,18733519,3689633,11553004,10441060,175638,175638,8453782,11560285,3381562,5372513,45098108,23019182,176129181,"125,234","204,884",330118
Connecticut,2005,56.62,49.44,31.02,26.11,17.60,9.30,0.39,0.61,0.95,1.39,95.15,0.359129496, 0.0223915 ,68.13%,25.79%,64529.20536,1.3,226301.0839,1.7, 362.00 ," 208,154.00 "," 7,503.00 "," 59,461.00 "," 20,745.00 "," 31,015.00 ", 119.00 ,11783,22696,6489,11220,0.001739097,0.036045428,0.285658695,0.099661789,0.149000259,0.000571692,0.056607127,0.109034657,0.031174035,0.053902399,275,8,15.9,17.0,16.7,16.7,11.0,11.6,7.6,8.3,63.5,66.7, -   ,3506956," 5,543 ", 632.68 ,0.156884489,20456647,11584728,3267726,1860437,5608426,5033442,574984,19926096,4658899,8201801,16618678,68634,68634,8420114,21313506,150784,3987090,39457732,17495721,176139627,"63,835","115,083",178918
Delaware,2005,46.52,35.65,21.38,17.49,11.02,5.29,0.30,0.56,0.82,0.89,90.43,0.341049791, 0.0249293 ,62.52%,33.08%,68050.60005,-0.1,57512.96463,1.6, 410.00 ," 52,901.00 "," 2,335.00 "," 21,889.00 "," 5,275.00 "," 4,511.00 ", 2.00 ,2474,5820,1380,2063,0.007750326,0.044139052,0.413772897,0.099714561,0.08527249,3.78E-05,0.046766602,0.110016824,0.026086463,0.038997372,80,9.3,11.8,12.9,13.1,14.1,16.3,17.6,7.0,7.7,38.4,41.2, -   ,845150," 2,489 ", 339.55 ,0.258465361,6164602,2590217,0,397264,1131341,882472,248869,5964014,1124234,(D),3269466,23088,23088,1764085,4671766,(D),837810,8136485,4111633,33357539,"13,655","23,595",37250
District of Columbia,2005,48.21,39.89,23.94,19.65,12.49,6.07,0.38,0.60,0.93,1.33,87.92,0.285330179, 0.0296243 ,64.50%,17.93%,160963.8927,1.7,91288.41826,1.6, 2.00 ," 83,968.00 "," 1,051.00 "," 9,714.00 "," 29,674.00 ", 279.00 , -   ,1039,19793,1333,741,2.38E-05,0.012516673,0.115686928,0.353396532,0.003322694,0,0.012373761,0.235720751,0.015875095,0.00882479,104,18.3,11.3,12.8,24.9,24.9,0.0,0.0,7.6,8.3,21.1,24.9, -   ,567136, 68 ," 8,340.24 ",0.625111084,8514398,4228727,770220,440991,1465031,1147940,317091,7602423,1761413,(D),37213,724,724,664728,2458647,(D),639816,28362053,25101349,30551489,"7,075","15,767",22842
Florida,2005,59.37,49.00,31.78,26.92,18.43,9.96,0.36,0.67,0.94,1.25,97.51,0.326766214, 0.0236453 ,64.93%,17.68%,42667.10384,4.1,761268.088,6.7," 6,032.00 "," 700,222.00 "," 55,506.00 "," 157,250.00 "," 79,410.00 "," 36,833.00 "," 1,120.00 ",55642,87797,31132,46808,0.008614411,0.079269146,0.224571636,0.113406891,0.052601889,0.001599493,0.07946337,0.125384521,0.044460185,0.066847371,2068,11.5,5.4,7.2,3.7,4.3,3.2,3.9,2.5,3.3,22.3,29.7, 1 ,17842038," 65,758 ", 271.33 ,0.199108981,77356361,33894971,19056249,6430205,1785213,0,1785213,71154650,16660990,38546618,24015013,1444722,1444722,35068298,38370844,791719,15275523,154436608,68996255,647093731,"527,003","511,371",1038374
Georgia,2005,45.51,34.24,19.11,15.12,8.83,3.80,0.30,0.62,0.86,0.87,95.59,0.329219219, 0.0198921 ,59.55%,17.08%,45873.20497,2,409460.6495,3.9," 3,660.00 "," 376,626.00 "," 20,122.00 "," 68,514.00 "," 49,671.00 "," 47,605.00 "," 1,323.00 ",24616,41912,20453,29129,0.009717863,0.053427007,0.181915216,0.13188415,0.126398602,0.003512769,0.065359269,0.111282811,0.054305863,0.077341979,1172,12.6,5.0,6.0,4.4,4.8,7.1,7.5,3.7,4.3,12.1,15.2, 1 ,8925922," 59,425 ", 150.20 ,0.344065521,36111681,15675655,5310121,1657032,8038535,7326225,712310,35658892,9359580,14898322,24952304,555831,555831,14888696,17029198,454050,11742831,66973898,40405515,296929387,"177,644","275,212",452856
Hawaii,2005,40.72,29.95,16.47,12.93,7.42,3.12,0.27,0.58,0.81,0.74,94.53,0.392979567, 0.0203368 ,66.33%,21.21%,48881.26132,3.7,63190.22407,5.3, 428.00 ," 58,123.00 "," 3,900.00 "," 13,008.00 "," 12,246.00 "," 1,166.00 ", 42.00 ,4393,4974,3620,1932,0.007363694,0.067099083,0.223801249,0.210691121,0.020060905,0.000722606,0.075581095,0.085577138,0.062281713,0.033239853,116,9.2,25.8,26.7,39.6,39.6,19.5,19.5,16.9,17.5,57.7,59.4, -   ,1292729," 10,932 ", 118.25 ,0.738042544,9091681,4434356,2136604,612009,1505606,1381481,124125,8405444,1414573,3018087,761036,32861,32861,2632956,2171869,29996,1823963,12784062,10543146,47220711,"21,187","50,780",71967
Idaho,2005,41.78,31.91,18.08,14.52,8.78,3.98,0.28,0.63,0.84,0.80,95.45,0.440625126, 0.0262953 ,60.71%,16.09%,36530.12237,3.3,52173.81851,6," 2,232.00 "," 47,990.00 "," 3,287.00 "," 7,883.00 "," 7,091.00 "," 5,858.00 ", 587.00 ,4202,5205,1995,2657,0.04650969,0.068493436,0.164263388,0.14775995,0.122067097,0.012231715,0.087559908,0.108460096,0.041571161,0.055365701,141,9.5,5.2,6.3,5.2,5.2,6.5,6.5,3.3,3.5,14.2,19.7, 1 ,1428241," 83,569 ", 17.09 ,0.051019401,7204275,2934459,1128485,372817,1181097,1040512,140585,6143914,1371096,2748255,3522132,349610,349610,2667577,1639881,228120,1089076,8564872,5733420,41863825,"30,726","75,246",105972
Illinois,2005,47.53,36.95,21.67,17.51,10.73,4.95,0.32,0.60,0.87,1.00,96.10,0.346962852, 0.0208032 ,63.65%,19.85%,50768.29685,1.5,640183.2987,1.7," 2,536.00 "," 588,847.00 "," 28,921.00 "," 132,617.00 "," 61,699.00 "," 79,886.00 "," 1,648.00 ",34521,76360,29759,41039,0.004306721,0.049114626,0.225214699,0.10477934,0.135665122,0.00279869,0.058624736,0.129677149,0.050537746,0.069693825,1338,10.6,16.9,17.6,40.0,40.8,16.7,17.2,11.8,12.2,48.5,51.1, -   ,12609903," 57,914 ", 217.73 ,0.209789401,58790939,26411689,7195445,6160110,10119950,7936884,2183066,55372969,14529568,23044743,46341695,218057,218057,21081929,37586297,3132152,18994031,117301375,54251431,474731421,"251,948","369,050",620998
Indiana,2005,40.04,29.11,15.52,12.18,6.98,2.92,0.26,0.58,0.79,0.66,95.07,0.339083971, 0.0187847 ,61.95%,14.98%,42777.88347,-0.8,268585.9036,0," 2,224.00 "," 247,048.00 "," 11,425.00 "," 37,731.00 "," 24,487.00 "," 69,083.00 ", 913.00 ,16322,17908,13123,13619,0.009002299,0.046246074,0.152727405,0.09911839,0.279633917,0.003695638,0.066068133,0.072487938,0.053119232,0.055126939,674,10.6,12.4,13.2,20.1,20.1,21.5,22.3,10.0,10.5,28.2,31.3, -   ,6278616," 36,420 ", 172.39 ,0.118972238,27122339,12853976,5001049,2194124,5038282,4213480,824802,26362908,5875844,10158933,36065069,345653,345653,9723868,8939657,503146,7646788,41245533,20857925,195121894,"78,094","176,185",254279
Iowa,2005,35.68,25.73,12.92,9.87,5.32,2.04,0.25,0.56,0.77,0.61,95.19,0.3656824, 0.0223451 ,66.54%,17.26%,45483.34391,2.1,134833.2808,2.5," 4,869.00 "," 124,021.00 "," 5,288.00 "," 28,607.00 "," 13,979.00 "," 24,331.00 ", 279.00 ,7725,6687,6265,6677,0.03925948,0.04263794,0.230662549,0.112714782,0.196184517,0.002249619,0.062287838,0.053918288,0.050515638,0.053837657,301,10.3,11.5,13.5,17.6,18.2,21.0,22.4,7.3,8.2,32.8,41.3, 1 ,2964454," 56,273 ", 52.68 ,0.05606901,15631304,5750629,1721763,905689,2440576,2254107,186469,13897962,3290761,4890025,13541476,265857,265857,4884664,6462241,108558,3817712,17211417,11631813,96668245,"54,020","151,612",205632
Kansas,2005,40.14,29.55,16.09,12.61,7.21,3.01,0.27,0.59,0.82,0.75,94.66,0.382187677, 0.0226136 ,65.70%,19.93%,42319.80398,2.3,116180.5155,2.7," 3,220.00 "," 106,864.00 "," 4,411.00 "," 15,632.00 "," 15,080.00 "," 16,249.00 "," 1,569.00 ",7701,8821,5873,6976,0.030131756,0.041276763,0.146279383,0.141113939,0.152053077,0.014682213,0.072063557,0.082544168,0.054957703,0.065279233,349,12.8,7.0,9.5,12.5,14.4,14.0,17.7,5.1,6.3,14.8,22.4, 1 ,2745299," 82,278 ", 33.37 ,0.112192151,12521726,5637807,2005188,785933,2327867,2079782,248085,11765208,2711174,4020291,10676230,186168,186168,4417546,3936517,971644,3314134,18784226,12285982,88583966,"62,409","125,362",187771
Kentucky,2005,41.84,30.88,15.76,12.21,6.79,2.73,0.25,0.61,0.80,0.65,94.56,0.354532661, 0.0174739 ,58.03%,12.64%,37473.80079,2,156743.2405,2.9," 2,218.00 "," 144,174.00 "," 6,583.00 "," 20,007.00 "," 20,943.00 "," 27,630.00 "," 3,699.00 ",9873,10506,9192,9335,0.015384189,0.045660105,0.13876982,0.145261975,0.191643431,0.025656498,0.068479754,0.072870282,0.063756294,0.064748152,690,16.8,9.7,10.8,8.4,8.4,13.2,13.6,7.6,8.0,18.6,23.0, -   ,4182742," 40,408 ", 103.51 ,0.10119797,21273489,9090882,2594976,1656813,3514736,3036231,478505,20434946,5426285,5563260,15410960,347776,347776,6117719,5262489,1470455,5853870,24598586,17633534,121353573,"60,120","133,453",193573
Louisiana,2005,43.54,32.89,17.65,14.00,8.22,3.56,0.28,0.66,0.85,0.77,95.31,0.393156258, 0.0180620 ,57.47%,13.06%,47613.70611,4.8,217910.2206,5.4," 1,379.00 "," 200,436.00 "," 8,287.00 "," 21,819.00 "," 22,623.00 "," 59,058.00 "," 16,761.00 ",11834,12576,10258,8789,0.006880002,0.041344868,0.10885769,0.112868946,0.294647668,0.083622703,0.05904129,0.06274322,0.051178431,0.043849408,713,17,6.4,7.4,6.0,6.0,19.0,21.0,4.8,5.4,14.0,16.6, 1 ,4576628," 52,378 ", 87.38 ,0.360494451,24851601,8638674,2861435,1724448,2744863,2392727,352136,21411326,4543619,6833455,10552749,332090,332090,6920597,4784151,5505669,5283060,28110923,19640419,134652952,"70,419","125,946",196365
Maine,2005,41.64,30.78,15.66,12.02,6.55,2.55,0.25,0.58,0.78,0.65,95.73,0.435833667, 0.0272425 ,66.67%,17.18%,37964.32755,-0.2,50066.86163,0.2, 677.00 ," 46,052.00 "," 2,540.00 "," 9,063.00 "," 6,598.00 "," 5,096.00 ", 8.00 ,4315,3669,1805,2499,0.014700773,0.055155042,0.19679927,0.143272822,0.110657518,0.000173717,0.093698428,0.079670807,0.039194823,0.054264744,134,10.2,11.9,13.6,6.2,6.8,18.4,19.4,5.6,6.1,42.8,50.4, -   ,1318787," 35,380 ", 37.27 ,0.036526748,8456220,3215570,934848,532500,1435115,1299252,135863,7469846,2318631,2452944,3432506,477878,477878,2868922,2002215,6117,965770,9990571,5629558,43083415,"26,830","67,392",94222
Maryland,2005,40.82,31.79,17.34,13.57,7.73,3.21,0.31,0.54,0.82,0.90,95.40,0.374245099, 0.0204503 ,64.63%,25.57%,51464.38604,2.9,287808.3517,3.7, 805.00 ," 264,729.00 "," 15,505.00 "," 58,648.00 "," 52,327.00 "," 14,913.00 ", 302.00 ,16128,34722,9689,12976,0.003040846,0.058569329,0.221539763,0.197662515,0.05633308,0.001140789,0.060922679,0.131160545,0.036599693,0.049016164,469,8.4,13.3,15.0,13.1,13.6,15.2,15.2,7.4,8.3,32.3,36.5, -   ,5592379," 12,406 ", 450.78 ,0.366270061,28647853,13366914,2889997,2261759,6468546,5661492,807054,26763238,5821012,13541659,9931063,107151,107151,10806854,14621876,154196,4830438,58603791,39044037,242159114,"107,367","161,491",268858
Massachusetts,2005,49.83,40.67,23.79,19.27,11.88,5.53,0.34,0.58,0.88,1.11,95.70,0.339426976, 0.0227057 ,66.05%,25.30%,58430.57582,1.7,374147.9219,1.6, 693.00 ," 344,145.00 "," 15,061.00 "," 82,709.00 "," 38,107.00 "," 38,063.00 ", 141.00 ,17663,50890,9454,18331,0.002013686,0.04376353,0.240331837,0.110729489,0.110601636,0.000409711,0.051324296,0.147873716,0.027470979,0.053265339,758,12,13.9,14.9,17.7,17.7,8.7,9.1,7.4,8.0,58.3,62.7, -   ,6403290," 10,554 ", 606.72 ,0.138199894,42053725,18034862,3890945,1911557,11023066,9690270,1332796,37624779,10390068,14493265,24654778,584522,584522,13412138,25568499,135128,5644643,85354116,28142918,287134553,"99,732","216,086",315818
Michigan,2005,42.59,30.35,16.12,12.53,7.01,2.84,0.27,0.58,0.82,0.69,96.37,0.36470746, 0.0192334 ,64.19%,16.74%,42862.32091,1.3,430815.0596,1.3," 2,262.00 "," 396,268.00 "," 17,728.00 "," 69,919.00 "," 45,204.00 "," 80,467.00 ", 892.00 ,26311,49811,16030,23754,0.005708258,0.0447374,0.17644372,0.114074313,0.203062069,0.002251002,0.066396984,0.125700284,0.040452421,0.05994428,1323,13.3,20.5,21.4,24.6,25.5,26.7,27.0,14.4,15.1,58.0,59.9, -   ,10051137," 96,714 ", 103.93 ,0.189428022,55481834,23525187,8074095,3459949,8016114,6108924,1907190,51563447,12126354,14715812,50220694,302775,302775,15565781,16614654,621495,9332213,79785934,38539977,329803615,"190,264","295,055",485319
Minnesota,2005,42.92,32.45,18.24,14.43,8.43,3.63,0.29,0.56,0.82,0.84,95.83,0.355608916, 0.0243378 ,69.19%,23.45%,51984.9255,2,266141.9206,2.6," 4,254.00 "," 244,800.00 "," 12,933.00 "," 52,335.00 "," 24,995.00 "," 36,414.00 ", 997.00 ,14678,27500,10584,16180,0.017377451,0.052830882,0.213786765,0.102103758,0.14875,0.004072712,0.05995915,0.112336601,0.043235294,0.066094771,422,8.2,15.7,16.4,26.2,27.4,10.1,10.4,9.7,9.9,52.6,56.0, -   ,5119598," 86,936 ", 58.89 ,0.110047508,31723566,15881131,4203736,2437303,7275060,6341164,933896,29559979,8157098,10217889,22579222,336497,336497,9342706,14848166,413562,6689047,44450223,21300769,193390784,"118,956","206,957",325913
Mississippi,2005,42.12,31.58,15.81,12.39,7.07,2.94,0.25,0.68,0.80,0.63,94.60,0.358382095, 0.0165908 ,57.44%,14.85%,30780.62218,1.2,89446.73356,1.8," 2,206.00 "," 82,274.00 "," 4,346.00 "," 11,008.00 "," 14,389.00 "," 13,462.00 ", 972.00 ,7256,5134,5013,4203,0.026812845,0.052823492,0.133796825,0.174891217,0.163623988,0.011814182,0.088193111,0.062401245,0.060930549,0.051085398,596,20.6,7.1,9.7,6.4,7.4,10.1,12.4,5.1,6.3,14.6,22.4, 1 ,2905943," 48,432 ", 60.00 ,0.386599806,15518347,5432152,2587970,935418,1457296,1174065,283231,14704763,4280550,3227353,8234573,423154,423154,4011350,2281899,764502,2733492,13879758,12089940,77222001,"36,946","99,061",136007
Missouri,2005,41.94,31.25,17.11,13.56,7.95,3.44,0.27,0.61,0.82,0.74,95.65,0.35998801, 0.0216374 ,61.31%,16.62%,42296.09871,0.8,244907.1004,1.5," 2,495.00 "," 225,268.00 "," 11,146.00 "," 38,603.00 "," 27,322.00 "," 32,514.00 "," 1,177.00 ",15594,25843,11296,14415,0.011075697,0.049478843,0.171364774,0.121286645,0.144334748,0.005224888,0.069224213,0.114721132,0.050144717,0.063990447,659,11.4,11.5,12.6,23.9,23.9,21.0,22.1,9.8,10.4,21.4,25.7, -   ,5790300," 69,707 ", 83.07 ,0.150816365,26820654,9543814,3036441,1562539,4232803,4014574,218229,23150843,6315288,10140340,18820247,297045,297045,9865616,9663324,412449,6738103,44420553,23494993,187778625,"97,726","203,707",301433
Montana,2005,41.97,31.62,16.35,12.64,7.00,2.79,0.26,0.67,0.83,0.68,96.51,0.552811828, 0.0335166 ,67.62%,16.94%,35184.99417,3,33077.48339,4.1," 1,211.00 "," 30,425.00 "," 2,117.00 "," 4,989.00 "," 4,963.00 "," 2,010.00 "," 1,460.00 ",2209,1970,2103,1680,0.039802794,0.069580937,0.163976993,0.163122432,0.066064092,0.047986853,0.072604766,0.064749384,0.069120789,0.055217749,125,13.5,10.7,12.2,10.5,10.5,9.9,9.9,5.7,6.5,28.6,33.1, -   ,940102," 147,040 ", 6.39 ,0.093514321,5691644,1875545,0,455151,811604,713390,98214,4809120,797105,1787972,949638,166112,166112,1807189,1126797,648432,1035336,5923869,4250128,27982487,"21,263","64,161",85424
Nebraska,2005,36.63,27.37,15.24,12.17,7.25,3.21,0.27,0.60,0.81,0.75,94.73,0.372405515, 0.0241806 ,64.93%,17.11%,45928.30854,1.6,80902.57771,2.3," 3,916.00 "," 74,415.00 "," 3,330.00 "," 13,689.00 "," 9,948.00 "," 8,330.00 ", 134.00 ,4959,6396,6789,4293,0.052623799,0.044749043,0.183954848,0.133682725,0.111939797,0.001800712,0.06663979,0.085950413,0.091231607,0.057689982,180,10.2,8.3,9.5,7.1,7.1,11.2,12.5,4.5,4.9,26.9,31.1, 1 ,1761497," 77,348 ", 22.77 ,0.085269518,8739537,3796551,1516705,456412,1592277,1393897,198380,7239796,1967208,2929646,5018643,115545,115545,3019043,3784334,97973,3168811,12708932,8154715,60120755,"30,749","85,373",116122
Nevada,2005,56.96,47.87,33.30,29.15,21.53,12.97,0.38,0.63,0.92,1.34,92.79,0.295838527, 0.0200786 ,62.58%,15.60%,52194.13822,4.6,126943.6079,8.4, 251.00 ," 116,764.00 "," 11,793.00 "," 24,506.00 "," 11,717.00 "," 4,998.00 "," 2,193.00 ",8790,11711,5558,4825,0.002149635,0.100998595,0.209876332,0.10034771,0.042804289,0.018781474,0.075280052,0.100296324,0.047600288,0.041322668,241,9.5,13.8,15.1,20.0,21.0,7.9,8.8,12.0,12.9,28.2,32.0, 1 ,2432143," 110,572 ", 22.00 ,0.190797992,11535175,5670169,2914781,1682014,0,0,0,9158273,1460420,9322783,2814487,15919,15919,5152486,4721973,864681,2733253,27732854,10301953,93970899,"46,135","72,965",119100
New Hampshire,2005,42.81,32.47,18.00,14.16,8.15,3.44,0.29,0.55,0.82,0.84,94.40,0.405588213, 0.0256313 ,68.39%,22.38%,46989.78659,2,61015.86197,2.7, 221.00 ," 56,123.00 "," 2,839.00 "," 11,832.00 "," 6,667.00 "," 7,207.00 ", 63.00 ,4659,5838,2068,3430,0.00393778,0.050585322,0.210822657,0.118792652,0.128414376,0.001122534,0.083014094,0.104021524,0.036847638,0.061115764,71,5.4,10.4,11.5,7.5,8.5,4.4,4.7,4.0,4.5,49.9,54.9, -   ,1298492," 9,349 ", 138.89 ,0.043825453,6136564,2010775,0,705116,544175,67686,476489,5781367,1540334,3338329,5284730,62312,62312,4587072,2957004,35367,918974,12219113,4824096,53136817,"24,751","60,093",84844
New Jersey,2005,46.82,38.17,20.77,16.37,9.47,4.02,0.34,0.58,0.88,1.04,96.66,0.369653411, 0.0241841 ,64.77%,25.13%,55913.96976,1.6,483766.2126,1.8, 684.00 ," 444,973.00 "," 18,976.00 "," 106,084.00 "," 50,128.00 "," 44,698.00 ", 313.00 ,28435,59803,20765,35559,0.001537172,0.042645284,0.238405476,0.112654026,0.100451039,0.000703413,0.063902754,0.134396918,0.046665753,0.079912714,762,8.8,20.5,21.7,26.1,26.6,16.9,17.5,11.8,12.5,64.1,68.2, -   ,8651974," 8,723 ", 991.86 ,0.237682522,52661668,24247648,6552200,3619799,11762572,9537939,2224633,50964235,11517678,16660621,26697836,119862,119862,18524674,28770126,182472,12265238,90031253,44914791,392400318,"201,711","206,516",408227
New Mexico,2005,42.48,31.00,15.63,12.03,6.58,2.58,0.26,0.65,0.82,0.65,94.02,0.429127978, 0.0192757 ,59.17%,17.77%,41671.05182,-1,80519.88998,0.5," 1,223.00 "," 74,063.00 "," 3,576.00 "," 9,731.00 "," 17,423.00 "," 7,731.00 "," 7,148.00 ",4589,6662,2817,2474,0.016512969,0.048283218,0.131388143,0.235245669,0.104384105,0.096512429,0.061960763,0.089950448,0.038035186,0.033403994,328,16.9,8.1,10.7,10.0,10.0,6.6,10.4,3.4,4.4,21.6,29.1, -   ,1932274," 121,590 ", 15.89 ,0.155876444,13344177,4478321,1556600,613921,1328477,1086015,242462,12463203,2899289,2872291,2013114,98906,98906,3063372,1846510,1303066,1461971,12565506,11777532,55562615,"33,522","83,431",116953
New York,2005,56.46,46.49,30.25,25.66,17.62,9.56,0.38,0.65,0.95,1.31,97.43,0.365979581, 0.0233079 ,63.45%,20.90%,58205.91524,4.6,1113631.076,4.4," 2,083.00 "," 1,024,329.00 "," 33,201.00 "," 314,362.00 "," 121,253.00 "," 65,659.00 ", 672.00 ,53643,126658,34562,51719,0.002033526,0.032412438,0.306895538,0.118373101,0.064099523,0.000656039,0.052368917,0.123649726,0.033741112,0.050490614,2668,14,26.1,27.5,23.0,24.7,16.4,17.3,16.1,17.1,68.9,72.0, -   ,19132610," 54,555 ", 350.70 ,0.267759286,144260298,51326444,11003520,6327734,30884768,28100047,2784721,135811038,42667033,26396018,38793052,286483,286483,32867291,112304775,494564,19905383,209679638,109007450,793176071,"302,404","593,939",896343
